,id,tags,category,view,likes,comments,Title,datePublished
0,a8zuaYT8-cI,"['Achievement', 'Control', 'Empowerment', 'English', 'Future', 'Life', 'Personal growth', 'TEDxTalks', '[TEDxEID:48924]']",29,984,18,1,You Can Decide Your Own Future | Bruno Moutou | TEDxInternationalSchoolPaphos,2022-07-11T17:15:37Z
1,q2W0c_jHdBw,"['Business', 'Communication', 'Connection', 'English', 'Personal growth', 'Progress', 'TEDxTalks', '[TEDxEID:48924]']",29,743,16,0,The Network Effect | Zain Ali | TEDxInternationalSchoolPaphos,2022-07-11T17:15:05Z
2,g27OdknMI0k,"['Business', 'Diversity', 'English', 'TEDxTalks', 'Women in business', 'Workplace', 'Youth', '[TEDxEID:48924]']",29,637,8,8,How Gen Z Could Diversify Venture | Victoria Kostic-Nola | TEDxInternationalSchoolPaphos,2022-07-11T17:07:51Z
3,091QVjp6IE0,"['Culture', 'English', 'Humanities', 'Racism', 'Social Change', 'Social Justice', 'TEDxTalks', '[TEDxEID:47672]']",29,398,3,1,Waking Up to Whiteness | Madeleine Taylor | TEDxPermaQueer,2022-07-11T17:04:17Z
4,HM7jV2nSfNg,"['Business', 'English', 'Entrepreneurship', 'Future', 'Investment', 'Start-up', 'TEDxTalks', 'Technology', '[TEDxEID:51030]']",29,779,8,0,Funding the Future | Joe Schorge | TEDxAthens,2022-07-11T16:52:12Z
5,pBU-IPjDPlI,"['Consciousness', 'English', 'Life', 'TEDxTalks', '[TEDxEID:49794]']",29,611,12,1,Our Inner Chatterbox | Vedanth Aggarwal | TEDxYouth@GEMSModernAcademy,2022-07-11T16:51:20Z
6,QA-NdWiREOo,"['Activism', 'Ecology', 'English', 'Environment', 'Fish', 'Global Issues', 'Nature', 'Oceans', 'TEDxTalks', '[TEDxEID:51030]']",29,681,7,0,Is Saving a Life Enough to Save the Ocean? | Peter Hammarstedt | TEDxAthens,2022-07-11T16:44:27Z
7,DvAxi421xA0,"['Ecology', 'Fashion', 'Global Issues', 'Global issues', 'Italian', 'Nature', 'Sustainability', 'TEDxTalks', 'Third world', '[TEDxEID:48290]']",29,395,4,0,Moda sostenibile: esiste? | Matteo Ward | TEDxBelluno,2022-07-11T16:43:00Z
8,8ulnBOkLlhQ,"['Art', 'Digital', 'Italian', 'Meme', 'Museums', 'Social Media', 'TEDxTalks', 'Youth', '[TEDxEID:48290]']",29,319,11,0,L'arte di memare | Ilde Forgione | TEDxBelluno,2022-07-11T16:41:32Z
9,imoox9CMC-Q,"['Consciousness', 'English', 'Life', 'Life Development', 'Meditation', 'Mindfulness', 'Personal growth', 'TEDxTalks', 'Travel', '[TEDxEID:51030]']",29,223,10,1,Lessons from the Unknown | Soren Gordhamer | TEDxAthens,2022-07-11T16:41:02Z
10,KeK3D_nlg24,"['Art', 'English', 'Entertainment', 'Poetry', 'TEDxTalks', '[TEDxEID:47594]']",29,332,13,1,I hate people with Charisma | Bishal Bajgain | TEDxKathmanduUniversity,2022-07-11T16:31:24Z
11,wKgvfUANqyM,"[""Brazilian Business Humanity Women Women in business Women's Rights Work"", 'TEDxTalks [TEDxEID:47270] Portuguese']",29,216,8,0,A criatividade a favor delas | Domenico Massareto | TEDxMacedoWomen,2022-07-11T16:06:01Z
